Trading Day,Prediction Type,Price
2020-03-14,WE,9.01
2020-03-15,WE,9.01
2020-03-16,DA,9.199
2020-03-17,DA,8.627
2020-03-18,DA,8.364
2020-03-19,DA,8.2
2020-03-20,DA,8.477
2020-03-21,WE,8.07
2020-03-22,WE,8.07
2020-03-23,DA,8.15
2020-03-24,DA,7.772
2020-03-25,DA,7.83
2020-03-26,DA,7.763
2020-03-27,DA,7.476
2020-03-28,WE,7.212
2020-03-29,WE,7.212
2020-03-30,DA,7.253
2020-03-31,DA,7.075
2020-04-01,DA,7.1
2020-04-02,DA,6.9
2020-04-03,DA,6.935
2020-04-04,WE,6.815
2020-04-05,WE,6.815
2020-04-06,DA,6.86
2020-04-07,DA,7.064
2020-04-08,DA,7.198
2020-04-09,DA,7.081
2020-04-10,WE,6.678
2020-04-13,WE,6.678
2020-04-14,DA,6.843
2020-04-15,DA,6.944
2020-04-16,DA,6.64
2020-04-17,DA,6.712
2020-04-18,WE,6.161
2020-04-19,WE,6.161
2020-04-20,DA,6.145
2020-04-21,DA,5.888
2020-04-22,DA,5.578
2020-04-23,DA,5.765
2020-04-24,DA,5.394
2020-04-25,WE,5.163
2020-04-26,WE,5.163
2020-04-27,DA,5.206
2020-04-28,DA,5.613
