Trading Day,Month+1,Month+2,Month+3,Month+4,Quarter+1,Quarter+2,Quarter+3,Season+1,Calendar+1
2020-03-16,23.35,23.45,23.853,,23.55,23.948,31.784000000000002,,12.729000000000001
2020-03-17,22.75,22.826999999999998,23.429000000000002,,23.0,23.6,31.95,,12.478
2020-03-18,21.680999999999997,21.651,22.416999999999998,,21.913,22.404,30.769000000000002,,12.08
2020-03-19,22.599,22.371,23.334,,22.764,23.233,31.73,,12.091
2020-03-20,22.124000000000002,21.781999999999996,22.910999999999998,,22.267,22.816,30.892,,12.182
2020-03-23,20.951,20.761,21.61,,21.104,21.733,29.968000000000004,,11.984000000000002
2020-03-24,21.6,21.1,21.662,,21.45,22.246,30.706999999999997,,12.33
2020-03-25,21.245,20.936,21.63,,21.267,22.401,31.365,,12.48
2020-03-26,20.506999999999998,20.328,21.037,,20.621,22.072,30.166,,12.44
2020-03-27,17.9,18.1,19.908,,18.63,20.905,28.145,7.625,12.194
2020-03-30,17.48,17.67,17.899,20.406,19.01,28.166999999999998,30.269000000000002,,11.966
2020-03-31,16.6,18.059,20.78,,19.54,28.378,30.451,,12.103
2020-04-01,16.6,17.722,20.244,,19.209,28.127,30.474,,12.074000000000002
2020-04-02,17.225,18.477999999999998,21.085,,19.726,29.131,31.145,,12.370999999999999
2020-04-03,16.75,17.75,20.357,,20.283,29.781999999999996,32.150999999999996,,12.507
2020-04-06,17.33,18.26,21.316999999999997,,21.403000000000002,32.439,34.729,,13.045
2020-04-07,17.6,18.4,21.893,,21.885,33.099000000000004,35.478,,13.054
2020-04-08,17.067,17.757,21.076,,20.991999999999997,32.42,34.865,,12.914000000000001
2020-04-09,17.553,18.182000000000002,21.673000000000002,,21.467,32.902,35.711,,13.023
2020-04-14,16.65,17.15,20.073,,20.55,31.143,33.746,,12.815999999999999
2020-04-15,15.95,16.55,17.51,,19.171,31.784000000000002,34.574,,12.540999999999999
2020-04-16,16.75,17.3,18.01,,20.46,33.501,36.402,,12.922
2020-04-17,17.0,17.6,18.804000000000002,,19.7,30.15,34.8,,13.165999999999999
2020-04-20,16.0,17.5,17.9,,19.9,30.7,35.25,,13.025
2020-04-21,15.040999999999999,16.518,16.835,,19.061,29.153000000000002,33.591,,12.694
2020-04-22,15.533,16.239,16.515,,18.474,28.489,32.709,,12.49
2020-04-23,15.0,15.9,15.675,,17.764,27.735,31.95,,12.42
2020-04-24,13.607999999999999,14.675999999999998,14.35,,16.963,27.497,31.739,,12.280999999999999
2020-04-27,13.8,14.75,14.572000000000001,,16.875999999999998,26.846999999999998,31.031,,12.225999999999999
2020-04-28,13.95,14.9,15.568,,17.249000000000002,26.915,31.026999999999997,,12.133
